機甲都市伯林,4,"川上, 稔, 1975-",メディアワークス,KH258,2001.6,9784840218436
機甲都市伯林,3 (パンツァーポリス1942),"川上, 稔, 1975-",メディアワークス,KH258,2001.2,9784840217354
機甲都市伯林 : パンツァーポリス1937,,"川上, 稔, 1975-",メディアワークス,KH258,2000.6,9784840215312
機甲都市伯林,2 (パンツァーポリス1939),"川上, 稔, 1975-",メディアワークス,KH258,2000.1,9784840216302
NHKにようこそ!,,"滝本, 竜彦, 1978-",角川書店,KH589,2005.6,9784043747023
カウボーイビパップ : 天国の扉,,"渡辺, 信一郎, 1965-",角川書店,KH692,2002.8,9784044199029
ゴシック・仮面舞踏会の夜,6,"桜庭, 一樹",角川書店,913.6,2010.11,9784044281137
ドグラ・マグラ,上,"夢野, 久作",角川書店,913.6,1976,9784041366035
秋の花の思い出,3,"桜庭, 一樹",角川書店,KH525,2011.1,9784044281144
青白く輝く月を見たか? = Did the moon shed a pale light?,,"森, 博嗣",講談社,KH877,2017.6,9784062940757
ゴシック・薔薇色の人生,7,"桜庭, 一樹",角川書店,913.6,2011.3,9784044281151
GOSICKs （ゴシックエス） : 冬のサクリファイス,4,"桜庭, 一樹",角川書店,913.6,2011.5.25(平23),9784044281199
キノの旅 : ｔｈｅ　Ｂｅａｕｔｉｆｕｌ　Ｗｏｒｌｄ,2,時雨沢　恵一,ＫＡＤＯＫＡＷＡ,913.6,2015.6,9784048694155
キノの旅　：　the Beautiful World,1,時雨沢 恵一,KADOKAWA,913.6,2000.7,9784048668491
キノの旅　：　the Beautiful World,3,時雨沢 恵一,KADOKAWA,913.6,2001.1,9784048694285
キノの旅　：　the Beautiful World,4,時雨沢 恵一,KADOKAWA,913.6,2001.7,9784048666268
キノの旅 : the Beautiful World,5,時雨沢 恵一,KADOKAWA,913.6,2002.1,9784048666275
キノの旅 : the Beautiful World,6,時雨沢 恵一,KADOKAWA,913.6,2002.8,9784048666282
痴人の愛,,,新潮社,,2003.6.10(平15),9784101005010
伽藍堂の殺人 : Banach-Tarski Paradox,,"周木, 律",講談社,KH924,2017.9,9784062937559
ブギーポップは笑わない,,"上遠野, 浩平",KADOKAWA,913.6,1998.2,9784048694445
ブギーポップ・リターンズＶＳイマジネーター,Ｐａｒｔ　１,上遠野∥浩平,メディアワークス,913.6,2000.4,9784840209434
ブギーポップ・リターンズＶＳイマジネーター,Ｐａｒｔ　２,上遠野∥浩平,メディアワークス,913.6,1999.1,9784840209441
ブギーポップ・イン・ザ・ミラー「パンドラ」,,上遠野∥浩平,メディアワークス,913.6,2000.4,9784840210355
鏡の中は日曜日,,"殊能, 将之, 1964-2013",講談社,KH573,2005.6,9784062751193
春の嵐 : ゲルトルート,,"Hesse, Hermann",新潮社,KS398,1989.7,9784102001011
ロミオとロミオは永遠に,下,"恩田, 陸, 1964-",早川書房,KH475,2006.7,9784150308568
6TEEN (シックスティーン),,"石田, 衣良",新潮社,913.6,2012.7,9784101250564
レヴォリューションNo.0,,"金城, 一紀, 1968-",角川書店,KH851,2013.6,9784041008317
歌行灯,,"泉, 鏡花, 1873-1939",岩波書店,KH231,1988.9,9784003102725
ホテル・ニューハンプシャー,下巻,ジョン・アーヴィング,新潮社,933.7,1989.1,9784102273043
迷宮百年の睡魔 : LABYRINTH IN ARM OF MORPHEUS,,"森, 博嗣, 1957-",講談社,KH877,2017.2,9784062936071
すばらしい新世界,,"Huxley, Aldous",早川書房,KS158,2017.1,9784151200861
know,,"野崎, まど",早川書房,KH894,2013.7,9784150311216
女王の百年密室 : GOD SAVE THE QUEEN,,"森, 博嗣, 1957-",講談社,KH877,2017.1,9784062935838
ロミオとロミオは永遠に,上,"恩田, 陸, 1964-",早川書房,KH475,2006.7,9784150308551
ヤキトリ,2,カルロ・ゼン,早川書房,KH851,2018.4,9784150313180
空の境界,上,"奈須, きのこ, 1973-",講談社,KH431,2007.11,9784062758925
日本再発見 : 芸術風土記,,"岡本, 太郎, 1911-1996",KADOKAWA,日本--紀行,2015.7,9784044094881
海賊島事件 : the man in pirate's island,,"上遠野, 浩平, 1968-",講談社,KH971,2018.12,9784065139639
図書館の魔女,第4巻,"高田, 大介, 1968-",講談社,KH934,2016.5,9784062933889
レッド・クイーン,,"Aveyard, Victoria",ハーパーコリンズ・ジャパン,KS151,2017.3,9784596550484
図書館の魔女,第3巻,"高田, 大介, 1968-",講談社,KH934,2016.5,9784062933872
閻魔堂沙羅の推理奇譚,,"木元, 哉多",講談社,KH857,2018.3,9784062941075
その可能性はすでに考えた,,"井上, 真偽",講談社,KH844,2018.2,9784062938532
ガラスの剣,2,"Aveyard, Victoria",ハーパーコリンズ・ジャパン,KS151,2018.1,9784596550774
QED : 六歌仙の暗号,,"高田, 崇史, 1958-",講談社,KH582,2003.3,9784062736886
製造人間は頭が固い,,"上遠野, 浩平, 1968-",早川書房,KH851,2017.6,9784150312794
ほんとうの花を見せにきた,,"桜庭, 一樹, 1971-",文藝春秋,KH917,2017.11,9784167909567
殺人出産,,"村田, 沙耶香, 1979-",講談社,KH881,2017.3.28 (７刷),9784062934770
武士道ジェネレーション,,"誉田, 哲也, 1969-",文藝春秋,KH841,2018.9,9784167911324
幼女さまとゼロ級守護者さま,2,SCA自,SBクリエイティブ,KH931,2018.4,9784797396751
僕の小規模な奇跡,,"入間, 人間",アスキー・メディアワークス,KH191,2011.5,9784048705875
BEATLESS,下,"長谷, 敏司, 1974-",KADOKAWA,KH831,2018.2,9784041065822
BEATLESS,上,"長谷, 敏司, 1974-",KADOKAWA,KH831,2018.2,9784041065839
読書で離婚を考えた。,,"円城, 塔",幻冬舎,読書,2017.6,9784344031340
Levius/est,vol.1,"中田, 春彌",集英社,Y84,2015.12,9784088902784
科学者はなぜ神を信じるのか : コペルニクスからホーキングまで,,"三田, 一郎, 1944-",講談社,宗教と科学,2018.6,9784065120507
君だけが光,,"シギサワ, カヤ",白泉社,Y84,2018.8,9784592711360
BLACK LAGOON,11,"広江, 礼威",小学館,Y84,2018.11,9784091575517
魔法少女は死亡する,,"シギサワ, カヤ",白泉社,Y84,2018.12,9784592711445
試着室で思い出したら、本気の恋だと思う。,,"尾形, 真理子",幻冬舎,KH897,2014.2,9784344421509
涙香迷宮,,"竹本, 健治, 1954-",講談社,KH934,2018.3,9784062938723
サイコロジカル,下 (曳かれ者の小唄),"西尾, 維新, 1981-",講談社,KH437,2008.1,9784062762120
兎吊木垓輔の戯言殺し,上 (兎吊木垓輔の戯言殺し),"西尾, 維新",講談社,913.6,2008.1,9784062761796
クビツリハイスクール : 戯言遣いの弟子 : 西尾維新文庫,,"西尾, 維新, 1981-",講談社,KH437,2008.8.12,9784062761338
クビシメロマンチスト : 人間失格・零崎人識 : 西尾維新文庫,,"西尾, 維新, 1981-",講談社,KH437,2008.6.13,9784062760775
クビキリサイクル : 青色サヴァンと戯言遣い,,"西尾, 維新, 1981-",講談社,KH437,2008.4,9784062754309
WORLD END ECONOMiCA,3,"支倉, 凍砂",KADOKAWA,KH831,2015.7,9784048693257
境界線上のホライゾン,3 下,"川上, 稔, 1975-",アスキー・メディアワークス,KH258,2010.9,9784048687355
境界線上のホライゾン,6上,"川上, 稔, 1975-",アスキー・メディアワークス,KH851,2013.5,9784048916233
境界線上のホライゾン,11下,"川上, 稔, 1975-",KADOKAWA,KH851,2018.12,9784049122107
WORLD END ECONOMiCA,1,"支倉, 凍砂",KADOKAWA,KH831,2014.12,9784048691123
WORLD END ECONOMiCA,2,"支倉, 凍砂",KADOKAWA,KH831,2015.3,9784048693240
境界線上のホライゾン,3 中,"川上, 稔, 1975-",アスキー・メディアワークス,KH258,2010.7,9784048686471
境界線上のホライゾン,3 上,"川上, 稔, 1975-",アスキー・メディアワークス,KH258,2010.6,9784048686006
境界線上のホライゾン,2 下,"川上, 稔, 1975-",アスキー・メディアワークス,KH258,2009.7,9784048679015
境界線上のホライゾン,2 上,"川上, 稔, 1975-",アスキー・メディアワークス,KH258,2009.6,9784048678483
境界線上のホライゾン,1 下,"川上, 稔, 1975-",アスキー・メディアワークス,KH258,2008.1,9784048672702
[ソウ]楽都市Osaka,上,"川上, 稔, 1975-",メディアワークス,KH258,1999.2,9784073108931
閉鎖都市巴里,下,"川上, 稔, 1975-",メディアワークス,KH258,2000.1,9784840213899
閉鎖都市巴里,上,"川上, 稔, 1975-",メディアワークス,KH258,1999.11,9784840213493
裏世界ピクニック : ふたりの怪異探検ファイル,,"宮澤, 伊織",早川書房,KH874,2017.2,9784150312640
新本格魔法少女りすか,,"西尾, 維新, 1981-",講談社,KH971,2020.4,9784065186497
池袋ウエストゲートパーク,13,"石田, 衣良, 1960-",文芸春秋,KH971,2019.9.10,9784167913441
やはり俺の青春ラブコメはまちがっている。,[1],"渡, 航",小学館,KH692,2011.3,9784094512625
電詞都市DT,下,"川上, 稔, 1975-",メディアワークス,KH258,2002.6,9784840221184
Banana fish another story,,"吉田, 秋生",小学館,726.1,1997.12,9784091911827
Banana fish,第10巻,"吉田, 秋生",小学館,726.1,1997.6,9784091911704
Banana fish,第9巻,"吉田, 秋生",小学館,726.1,1997.6,9784091911698
Banana fish,第8巻,"吉田, 秋生",小学館,726.1,1997.5,9784091911681
Banana fish,第7巻,"吉田, 秋生",小学館,726.1,1997.5,9784091911674
Banana fish,第6巻,"吉田, 秋生",小学館,726.1,1997.3,9784091911667
Banana fish,第4巻,"吉田, 秋生",小学館,726.1,1997.2,9784091911643
Banana fish,第3巻,"吉田, 秋生",小学館,726.1,1997.2,9784091911636
Banana fish,第2巻,"吉田, 秋生",小学館,726.1,1997.1,9784091911629
Banana fish,第1巻,"吉田, 秋生",小学館,726.1,1997.1,9784091911612
星系出雲の兵站,4,"林, 譲治, 1962-",早川書房,KH971,2019.4,9784150313708
